Gene,Accession,Chromosome,End,Start,Strand,fit_alpha,fit_beta,fit_gamma,fit_U_switch,fit_likelihood,fit_scaling
Zfp583,Zfp583,7,6330434,6315665,-,0.2371393185142728,0.03008961972454677,0.020892090614594922,7.802289542981797,0.5436704426869053,2.1208506264377003
St5,St5,7,109617147,109523911,-,3.790985163385064,0.04029302886899321,0.10131355224702228,93.14453187308851,0.9979284215304076,3.9713399973712518
Zfp248,Zfp248,6,118455506,118427319,-,1.0167904361599283,0.027207920912462356,0.045792373550497215,36.99740730050616,0.4134385036791287,4.28606164705797
2310008H04Rik,2310008H04Rik,16,16146833,15889227,-,0.5155514308033526,0.019726958768328567,0.025514429438293382,25.873015830233022,0.42282986332196193,0.9554541128687883
Syn3,Syn3,10,86498896,86048746,-,1.1751137944939511,0.04489400974311012,0.06069562172696906,25.913538648161246,0.636905516546425,0.41445761299224154
Svil,Svil,18,5119293,5046589,+,2.214840829134297,0.04385384825547123,0.05790001445610223,50.00000018400648,0.6294633707886998,2.002972713123083
Klhl28,Klhl28,12,64965536,64942440,-,1.2468445038053892,0.05836331023839502,0.05728590904538709,21.149863736743395,0.44012575731723264,5.0349439445310225
Abl2,Abl2,1,156649619,156558787,+,0.3908212474591622,0.00909833284771133,0.013805127319216015,42.52570679274477,0.3533414067108673,1.4865197189782355
Rab3d,Rab3d,9,21918121,21907511,-,,,,,0,0
Scn8a,Scn8a,15,101045929,100870683,+,2.033557196510164,0.018512665491879497,0.07296894478136205,108.74833909942109,0.7903298551625927,2.550772866534399
Trmt6,Trmt6,2,132816054,132804215,-,1.4928707487538304,0.016203276249496662,0.02602726186021531,91.21254359359594,0.459690774197247,8.128740930163026
Slc35f5,Slc35f5,1,125595684,125561016,+,0.3164058311139241,0.011560761576946285,0.009756788485416546,27.095254124730946,0.4623102283162356,4.457089039151272
Mybl2,Mybl2,2,163084687,163054635,+,63.71590914851412,0.2827637181670926,0.9544043984814036,223.07936274820827,1.062080599570352,10.006896378654837
Rai14,Rai14,15,10714631,10568978,-,0.4509932349498884,0.021678636519144125,0.02542530927002836,20.595543553032307,0.7807247514950153,1.1604111322463049
Slc23a2,Slc23a2,2,132145108,132052496,-,1.2311577047333107,0.013075950790539023,0.03303613466678122,93.21281084721288,0.4060520062375681,4.955088452858867
Tead1,Tead1,7,112906805,112679320,+,2.768550944424427,0.008188937261596238,0.024513731404383805,334.70343555250497,0.8526841832501981,1.2664147832554873
Cenpo,Cenpo,12,4234294,4211672,-,0.3294586390558264,0.006594908612184523,0.012461127494019602,49.456948055756044,0.5441517313569479,2.4295256979326583
Dip2b,Dip2b,15,100219473,100038664,+,2.0971083289192656,0.014890235949580862,0.03296605134070423,139.42943904045478,0.5701665279422145,2.5527251448842447
Dopey1,Dopey1,9,86555806,86467154,+,1.0628000110910913,0.02244942092347822,0.046338911833536625,46.86855908518291,0.5205378604832117,1.5807764539719709
Dscr3,Dscr3,16,94526629,94497724,-,1.068881344985295,0.00690588727168603,0.012331690748843547,153.23049593844453,0.3972053570384649,11.04131816052585
Prkx,Prkx,X,77795960,77762030,-,0.32439756532078307,0.019673044961093022,0.018944339551077327,16.324549163727024,0.4205104572039063,2.771785826301702
Rarb,Rarb,14,16575210,16430840,-,5.850989026888133,0.049146495838728106,0.18140309248706318,117.86148814407841,0.695016920821769,2.791325557959155
Impact,Impact,18,12992948,12972252,+,5.287576633537737,0.028831023179925114,0.053766529603288836,181.5648662391994,0.4339873705167089,35.089209071588165
Ubox5,Ubox5,2,130630038,130589996,-,0.425347787867207,0.011311121248268077,0.015464574540674814,37.2283437464709,0.4180060114280488,2.9567388006357387
Rbak,Rbak,5,143180743,143172189,-,0.41031686102270676,0.02559110145554067,0.017133150907279647,15.873239888411732,0.4656609035121092,4.003286549914931
Arhgap31,Arhgap31,16,38713035,38598343,-,13.671816878968627,0.18840640746981163,0.44631007175878634,71.83990657190186,0.9878785515287859,1.3487536152064277
Mpp3,Mpp3,11,102026955,101999653,-,0.6419371414692878,0.014941821535641157,0.018646615414329087,42.53281760451201,0.527529195682035,5.032901246316559
Zfp160,Zfp160,17,21028856,21008941,+,0.5108005983550655,0.01770763297932962,0.024136451055245735,28.557887604843476,0.4534290137874054,2.6375922491869312
Ubiad1,Ubiad1,4,148444751,148434497,-,0.4116819468773689,0.025000707443018598,0.01703630972764356,16.302143782831514,0.355159545187761,10.930618569808356
Stt3b,Stt3b,9,115310421,115242582,-,4.364555889686026,0.011975104942118614,0.03633751631321101,360.8244229736761,0.4950707661086524,15.803896992084532
Rad54b,Rad54b,4,11615808,11558920,+,2.0463372744499795,0.029545611423969605,0.048834621356923326,68.56767567388839,0.9881487845424746,3.036230935430005
Cog7,Cog7,7,121981693,121922839,-,2.156784156700438,0.013442809382368175,0.04691359323898947,158.83705960556287,0.6003635902622554,10.398152581262181
Pitrm1,Pitrm1,13,6580149,6548157,+,11.900934896506028,0.05300404613904044,0.11654098180374775,222.28351240647876,0.5466158004953023,21.363388173632032
Asb1,Asb1,1,91559590,91540565,+,5.2480626704514535,0.047898317933042035,0.05361224029705436,108.47107514318022,0.49980677026147147,27.578026714186223
Efr3a,Efr3a,15,65873812,65787041,+,1.4567816407993794,0.011723018733158383,0.029590995745365205,123.0240996128502,0.44239225075136074,6.530451767877992
Gfpt2,Gfpt2,11,49838620,49794155,+,0.4081597090518717,0.007216148563664105,0.009718792593922845,55.9963682006259,0.44760541971280116,3.978575803383798
Adck3,Adck3,1,180196020,180165238,-,0.6818653388774103,0.015920514257824932,0.018015900818246014,42.40106032736039,0.7519604410477704,10.175612301141438
Cpt2,Cpt2,4,107923589,107903982,-,0.7136086399752961,0.016435525251923485,0.02124611883322305,42.98448286542367,0.4192771500144358,11.24958894693776
Dusp8,Dusp8,7,142095284,142079487,-,5.323192555624083,0.09244908260242556,0.1009393184565296,56.27936328592776,0.9776907481256824,17.38156383185953
Ralgps2,Ralgps2,1,156939626,156804166,-,0.6509160883683176,0.019495969896706846,0.02446727370043357,33.053340300524575,0.5560676948112653,3.5979094269313308
Vash2,Vash2,1,190979296,190947646,-,0.9504918179888794,0.028290386625665073,0.028950124259351548,33.26171933455749,0.6388292536037129,3.5849159103545905
Nup205,Nup205,6,35247598,35177616,+,1.5813763500766895,0.012350452829566061,0.023119141462236,126.76155345722084,0.49556690746068655,8.19141836180238
Dock1,Dock1,7,135173647,134670687,+,3.7204073980603765,0.026247514185673587,0.078747933144264,139.61501233665763,0.8406422057370643,1.3830519246222917
Cat,Cat,2,103485153,103453904,-,4.137935170260025,0.033869829435608026,0.03608904608519528,120.94999847417698,0.5080936877132239,16.36805469230687
Rnf157,Rnf157,11,116413032,116336345,-,0.49706812191973937,0.016796175166433152,0.02449647351006413,29.298184605980396,0.552763061082673,1.6079316571067246
Tnfrsf21,Tnfrsf21,17,43089188,43016555,+,0.764361662478794,0.027315428331644864,0.026442921761022132,27.70295368121136,0.5283032861248176,1.8911332859634122
Ipo11,Ipo11,13,106936915,106794439,-,11.938274752380387,0.06642722465060509,0.20911829736427678,177.92241158684212,0.5926673654673144,6.745056977373501
Tnfaip8l1,Tnfaip8l1,17,56173955,56162491,+,4.411960164295256,0.12568966915575364,0.12284958468623622,34.75099100817674,0.6912096225565775,10.134245508326398
Sulf1,Sulf1,1,12860372,12692430,+,3.3093029441033157,0.10601851099367855,0.11997947933286582,30.902244183165614,0.7400779873151164,0.853549390029124
Kdm4c,Kdm4c,4,74405864,74242497,+,1.4752887470824614,0.025655575404080554,0.056640378784642495,56.928594919735716,0.43744046567861505,1.93362342073209
Rap1gds1,Rap1gds1,3,139075199,138925906,-,0.9278481544103588,0.01589424308620668,0.025248905851953912,57.79260250923223,0.46354266059419413,1.509831512472363
Ttf2,Ttf2,3,100969663,100938860,-,2.953796663934312,0.06511399414041877,0.0798036748139307,44.90983445108259,0.4687530232850201,7.639827281539869
Ranbp17,Ranbp17,11,33513746,33211794,-,0.4505589205514067,0.02477606020524474,0.032514690987329474,18.003400365142376,0.4499066811026559,0.39166743770787815
Peli2,Peli2,14,48260883,48120869,+,8.362236421686328,0.06370305351775131,0.24477005553252315,129.95631449852823,1.0521361281442596,2.664107814272363
Ppm1f,Ppm1f,16,16927375,16896469,+,0.9780268834819564,0.013621037150260957,0.014248242503912977,71.08464678319939,0.47462174915004895,7.823598215680077
Elavl3,Elavl3,9,22052023,22015005,-,2.436257313669209,0.033748303518588235,0.03610306985745625,71.46714024318493,0.6581006232606454,0.6386173643956468
Zfp286,Zfp286,11,62789417,62778387,-,0.39701104028245665,0.022289800505870466,0.02056506815531131,17.633218824731824,0.44803530491564064,2.297924413671846
Mars,Mars,10,127311786,127296221,-,1.885504692648853,0.04038554450376883,0.029394710582222996,46.22073736180941,0.454995101400617,8.918276873866713
Ptpn6,Ptpn6,6,124738709,124720718,-,0.9065343470465991,0.043112371815347106,0.043089145490784686,20.816971226265327,0.873159801209833,5.016357284667116
Ldlrad3,Ldlrad3,2,102186377,101950201,-,6.781227011142971,0.047288386103070366,0.16153206220162006,141.9675166413778,0.6757564769315865,2.073069691775215
Wdr1,Wdr1,5,38561595,38526813,-,30.4372426174829,0.04376272292546891,0.14774239902269107,688.5510813078643,0.43322355377693733,27.77756973832701
Dchs1,Dchs1,7,105787550,105752989,-,1.554275872104174,0.018713279098302896,0.028665808169106168,82.22680297237055,0.5201621695736395,10.381921013559717
Maneal,Maneal,4,124862171,124855239,-,1.468114450703075,0.05581837077458137,0.08149839884742115,26.038619293738154,0.34798276763106306,10.96161262171583
Myrf,Myrf,19,10240748,10208271,-,1.925710462121521,0.06611677366958975,0.06495982302142896,28.834639860492384,0.5253965575426102,5.15821403641049
Ggta1,Ggta1,2,35461425,35400179,-,0.7643629084159664,0.024102401436499495,0.03669955529905462,31.39601177606594,0.624890137067075,2.7508958316511363
Itga3,Itga3,11,95076714,95044482,-,0.3737200436116038,0.018615792637608423,0.02349813579927662,19.874675786194167,0.5336533898903684,3.529956471989049
Xdh,Xdh,17,73950182,73883908,-,0.43531743883573953,0.02005065062324001,0.020719310662278858,21.493779555854733,0.6226798273958297,6.91773341335281
Hunk,Hunk,16,90499553,90386397,+,5.0139864192444525,0.04226687812674473,0.13090448972046687,117.44057699665053,0.6054602554974676,3.6507655653591744
Mtr,Mtr,13,12258113,12186540,-,0.6264230335555024,0.036764858447823554,0.042798960252060085,16.86824944804487,0.5521340428773723,1.2832668857731466
Lig3,Lig3,11,82804274,82781135,+,0.6063429237359067,0.010631625064738665,0.011716000654285411,56.46168773290004,0.4167385187895604,13.671965812399508
Plcd1,Plcd1,9,119093496,119071528,-,0.9996346294648225,0.04045419217984445,0.03912489459576652,24.46318242546055,0.6119225376472055,3.961664601188999
Trim46,Trim46,3,89245897,89234177,-,0.5414347271817235,0.018602171015469803,0.0221988471813833,28.814936679387845,0.8032365327445778,3.165349521259169
Lmnb1,Lmnb1,18,56753424,56707813,+,1.3078960330831386,0.020569400098690075,0.02384254114294052,62.94870373175177,0.5816830835858098,2.79097712119944
Zfp78,Zfp78,7,6382605,6363308,+,0.324469911100305,0.03219586514063997,0.030861020462515192,9.977219453060387,0.49313923385608505,1.791950699503659
Slc4a8,Slc4a8,15,100823971,100761747,+,1.2638478001662896,0.026731598601518962,0.03636624714042351,46.80637850418454,0.5737294437496029,3.8047764848340524
5730455P16Rik,5730455P16Rik,11,80378015,80360492,-,0.7974228960679512,0.042588600526486005,0.028042187564362435,18.536619126902533,0.41113262405127665,5.394000194372193
Meis2,Meis2,2,116065058,115861264,-,0.21785913373287016,0.014200314871578183,0.016873949038449732,15.188433802071836,0.5868602517413065,0.2979158026539742
Dusp3,Dusp3,11,101984791,101971144,-,0.8730839610582908,0.04081332059662718,0.031249317188248162,21.178211152932708,0.33137877149748185,20.087363481682253
Akap7,Akap7,10,25299163,25169090,-,0.456947450111637,0.01702121642739085,0.018043348139669596,26.57730001497107,0.41026125164521055,1.4151252012427704
Nefh,Nefh,11,4948064,4938756,-,,,,,0,0
Ap4b1,Ap4b1,3,103822025,103809517,+,0.891816366258221,0.044156223050910506,0.032309659229273084,19.994875956163405,0.5566169482002036,8.223629776567883
Gabrg2,Gabrg2,11,42000714,41910190,-,,,,,0,0
Srbd1,Srbd1,17,86145175,85984665,-,0.9244441170472555,0.010719767355577333,0.02253881216532402,85.37495689219583,0.3954975130852255,2.7083120665015095
Fbn1,Fbn1,2,125506438,125300594,-,0.6968311045047791,0.0350591737225495,0.03342781209119169,19.677097895094505,0.7227792741883176,1.3216653636410904
Tle4,Tle4,19,14597983,14448072,-,1.4745941501992756,0.03951150272401093,0.04177411224903051,36.94742310598429,0.44409067077365616,0.6768533999921704
Nr3c1,Nr3c1,18,39487245,39410545,-,0.49180162437576275,0.019359912421105588,0.024707528553241247,25.149060467919234,0.5278132582437098,2.0973724272061407
Exog,Exog,9,119465518,119444923,+,1.1649057473091085,0.03485205831391082,0.03771554345260511,33.090059687398934,0.48391803022890556,4.751996444988942
Col23a1,Col23a1,11,51583925,51289920,+,2.6224629104075747,0.07148782093836066,0.07451307995795846,36.31721106091719,1.0632637684712611,0.25828736551934117
Gdap2,Gdap2,3,100206981,100162518,+,0.6158107171322711,0.013459503492691687,0.02004956851028006,45.29532685154254,0.40516831576932405,4.81051434692275
D330045A20Rik,D330045A20Rik,X,139554580,139480367,+,1.3210417733013355,0.05062208664259297,0.05514388461136619,25.835192547513927,0.5167285649391832,2.758950263456958
Ccdc92,Ccdc92,5,124862221,124834432,-,2.6451016193815104,0.04512691446178719,0.049929427103263736,58.028576392146874,0.6935118396307521,7.442479227223662
Syne1,Syne1,10,5550692,5020196,-,0.2874595104649317,0.022038089749000105,0.022927212132390296,12.91332046477369,0.5080087451745182,0.8048334779600079
Mthfd1,Mthfd1,12,76319820,76255232,+,0.5730111933970686,0.013927460774857394,0.01527677074061031,40.731120383924136,0.49185293150025744,2.7427421455034597
Prickle2,Prickle2,6,92706184,92370892,-,2.7987785554383584,0.07275016044787148,0.0674162870998384,38.086387065350344,0.7789500940380226,0.12211625319322103
Slc35e1,Slc35e1,8,72492614,72477995,-,2.5529746432803613,0.06562938402952251,0.0587815820144234,38.510873356827794,0.5200738272467055,8.176539141050528
Mphosph9,Mphosph9,5,124328451,124250959,-,0.335419423691273,0.009187900745080243,0.009263973010975705,36.14157778447574,0.3989787771884844,1.8088244619557776
Ppp1r16b,Ppp1r16b,2,158766334,158666733,+,2.6152749281750127,0.10300039471285088,0.1056694795258858,25.137012203801095,0.653915089106796,2.3168849901074964
Zfat,Zfat,15,68258856,68083738,-,1.0634286281230565,0.044966875598659306,0.059059731601519255,23.41266382922133,0.430944820966096,0.9062562214211887
Poc5,Poc5,13,96415587,96388294,+,1.8989028647658972,0.025020326765135794,0.04582416012001092,75.13546300833195,0.41639242312969216,7.915550167376987
Hdac6,Hdac6,X,7947889,7930122,-,1.3061926617551394,0.027854248369170755,0.021626582503077182,46.42490143689652,0.4353966626224084,19.070644430749716
Slc35b4,Slc35b4,6,34177054,34155879,-,1.2610366397673736,0.044831329635647614,0.0320199543106578,27.84718373324833,0.37922127546365936,5.164991832677513
Zfp52,Zfp52,17,21562601,21535539,+,0.37564855386913537,0.03600626091868198,0.031018285122640363,10.328538949666013,0.4170363249457215,3.4328558159382876
Ddx11,Ddx11,17,66152168,66123520,+,0.9216970130830855,0.02624784572411764,0.029368528145300048,34.763997493090606,0.5147622723165541,4.115104903523874
Abce1,Abce1,8,79711740,79683442,-,2.253913412525347,0.01886905913294904,0.022495102920544376,118.25572555992899,0.48978234830936324,15.820119575017332
Kif21b,Kif21b,1,136178014,136131401,+,2.5420320278777018,0.09029669600991566,0.07876901572336274,27.87047388004729,0.923524178932072,2.3201565828507356
Brms1l,Brms1l,12,55869735,55836366,+,2.0201925437215293,0.026249539631289797,0.036579421063099284,76.19145502652164,0.5056503887034277,6.193687618000922
Pnpla6,Pnpla6,8,3544267,3515384,+,1.0589890214614393,0.035668623568080704,0.03507445446887579,29.39275549127219,0.5238333523979535,3.388924749385676
Gemin4,Gemin4,11,76217572,76210571,-,0.4281421753546876,0.012644139371243063,0.012763878561995982,33.522309518759315,0.38644113592444795,11.7167712029524
Atp1a2,Atp1a2,1,172298064,172271709,-,,,,,0,0
Nup93,Nup93,8,94315066,94214601,+,3.252428014134369,0.018426880475523752,0.028424856349980186,174.73949203013458,0.44879496903447913,8.636677837716462
Adamts5,Adamts5,16,85901125,85858157,-,,,,,0,0
Maml3,Maml3,3,52105006,51687613,-,0.8347269458781607,0.03526947107376938,0.031539304681781594,23.430452775742765,0.6037738763821018,0.05750185367172422
Ypel1,Ypel1,16,17086688,17070311,+,1.0708239702900813,0.012117005645177419,0.014686170965979862,87.4899097706625,0.4922528315924313,6.098818690379419
Dusp1,Dusp1,17,26508472,26505591,-,1.0144253151821736,0.013392095175769737,0.021937216948037658,74.99058577834732,0.4670574812701511,11.268182497392871
Zfp445,Zfp445,9,122866006,122848910,-,0.7509381921344741,0.007423013496034931,0.007804949862324125,100.15188718304749,0.42702759361137227,22.037981529833104
Jup,Jup,11,100397790,100368856,-,1.9133084475463213,0.015679608263032892,0.01929376596294734,120.80501829479186,0.5637962731265975,25.990441629939117
Plod1,Plod1,4,147936776,147909753,-,5.894504930598035,0.035379129241443326,0.0583424343207698,164.9435700202662,0.5128122466971688,21.974895586963513
Zfp367,Zfp367,13,64153199,64133057,-,1.7057163264022772,0.038981543847784246,0.055232107764092285,43.319453168200766,0.7790614080919882,3.758358121510339
Iars2,Iars2,1,185329401,185286662,-,0.6682246538416692,0.008782019572560277,0.014239041518628264,75.3291884443374,0.4224783754988806,4.067641558659375
Ifrd1,Ifrd1,12,40223189,40203129,-,2.1797135036194,0.008230262019843589,0.02287170468770865,262.19291237391445,0.47374421011493245,14.282643745996772
2010111I01Rik,2010111I01Rik,13,63299656,63014934,+,2.7968608457510467,0.027143518880900382,0.03730872663970077,102.00933229927956,0.5757596703614577,1.0146651352730915
St3gal4,St3gal4,9,35116810,35046579,-,6.426554206735643,0.06612080706473164,0.1466979394504512,96.22218704075506,0.8947072992214757,1.9430836015723918
Plxna1,Plxna1,6,89362613,89316314,-,1.508108655733816,0.0260349735736475,0.024950175626462442,57.34699768190717,0.4585421583489528,8.624354493836465
Unc80,Unc80,1,66699148,66468447,+,1.3067433623179132,0.02774918818335232,0.08176981387026405,46.62031624661561,0.9847185606212576,2.046323470087497
Gucy1b3,Gucy1b3,3,82074711,82032004,-,0.45346730162502186,0.0264486063714071,0.025594041404320957,16.973772542287936,0.5622282013912746,2.4348801834417113
Syt11,Syt11,3,88772599,88744701,-,3.016455155894834,0.014930945019395833,0.016571216845658224,200.00680469029837,0.31176981371412,12.838303342926034
Ogdhl,Ogdhl,14,32347820,32322019,+,0.4719245319895193,0.012713846551593513,0.015509098101599676,36.74775252113343,0.45623733145281453,5.345642772928219
E2f1,E2f1,2,154569852,154559639,-,1.3071573168021509,0.023583685772723777,0.027715713083728256,54.87207369133252,0.819081306437769,4.514020161907956
Plk4,Plk4,3,40816883,40799951,+,1.5599679292542863,0.04608777703374427,0.03864195845456855,33.50928053724521,0.795876547053301,2.1628053478784173
Bbx,Bbx,16,50432389,50191844,-,2.8245649828049904,0.013345487839456258,0.052193540508895256,209.532942266041,0.5006211065017524,3.758087814220991
Ncan,Ncan,8,70120844,70093085,-,1.088193351558749,0.02334249824022641,0.02607724120286496,46.15236154057485,0.552542790635761,19.214377555835455
Zfp74,Zfp74,7,29951893,29932791,-,0.4416356613430123,0.030323573486717704,0.022922709022081898,14.418462419051385,0.48823485382111736,3.321860827512678
Mre11a,Mre11a,9,14834417,14784707,+,2.2369601780612474,0.048865428385155486,0.0938692638829136,45.32019158463759,0.562921978720595,1.9410987665007795
Pkp4,Pkp4,2,59355205,59160850,+,1.544352491175576,0.016172519492886072,0.04284406813213412,94.53746319096123,0.41922586009339813,2.0305613206943915
Fhl1,Fhl1,X,56793346,56731787,+,2.174691358708347,0.07369872470113165,0.07713683112631915,29.212777478199772,0.7521715864368653,8.62083911131673
Wdr13,Wdr13,X,8132858,8123301,-,1.3863157624140798,0.038947845183833166,0.0338841799170171,35.23821660253568,0.4438563366327354,6.82026800981464
Txnrd1,Txnrd1,10,82897724,82833951,+,9.80103065382981,0.046883478672154984,0.0716961678060108,206.9603327675923,0.7246306482357044,7.165311845210483
Frmpd1,Frmpd1,4,45285936,45184906,+,1.1669306115669122,0.027201968275625592,0.034434202590457874,42.46976886913064,0.5601339293033436,1.2026214392123538
Cdr2,Cdr2,7,120982312,120957037,-,0.3610758704189642,0.020607456322037594,0.01893148681521328,17.34639666966086,0.5873907612186364,1.974423922586341
Ccdc132,Ccdc132,6,3603531,3498393,+,0.6772964481296522,0.020420910073581374,0.020724522826036977,32.835142078991616,0.3736841363147645,2.4378812369369687
Osgin2,Osgin2,4,16013877,15997121,-,1.2483908827070322,0.02868693702671742,0.04717863172963269,43.08257004673963,0.5250550844102041,7.013906745352852
Plk1s1,Plk1s1,2,146970089,146855889,+,0.651984767429066,0.015251352953994464,0.027412888998029024,42.32181378936105,0.45236423188957486,3.3742818556131513
Agrn,Agrn,4,156197488,156165290,-,9.029244915941709,0.04411445856294595,0.060452579622175685,202.63090057033108,0.4338000286004251,18.10015175061426
Gba,Gba,3,89208681,89202928,+,0.7369920027282766,0.022888616389472934,0.02362800159926277,31.877072440104584,0.4890072861372412,9.412459392005996
Rbms3,Rbms3,9,117629913,116572747,-,1.57408452569555,0.023911639154281843,0.031814945023375174,65.17092660958555,0.4778311383812927,0.1582539799663818
Aldh2,Aldh2,5,121593824,121567687,-,2.9259932319764776,0.038200129103838056,0.04003993413476988,75.83045836789258,0.59019428517289,26.801529130260278
Nup155,Nup155,15,8159859,8109313,+,0.73476742212327,0.011970269474065787,0.01724388570680775,60.76886986362589,0.5294152624553106,6.606354129376696
Rnasel,Rnasel,1,153764221,153749426,+,1.3351502509983761,0.033475115751447904,0.04844007964103659,39.48600979613403,0.4885315265685566,4.788320027279509
Dlgap2,Dlgap2,8,14847686,14095875,+,5.355446366890593,0.06467881596911156,0.17900052379197492,81.97261844981351,0.7452343187250684,0.1722608581240676
Dzank1,Dzank1,2,144527398,144470557,-,0.5208239693925534,0.025536867520498076,0.03779088818484879,20.19103279933416,0.52924652090441,2.1370301777365275
Bcl2,Bcl2,1,106714290,106538179,-,1.1864961193843886,0.06465795152983998,0.07426281479450705,18.16684770238114,0.7795985635095647,0.7276977384747032
Pea15a,Pea15a,1,172206781,172196729,-,3.2480495518784505,0.06039251704340516,0.04758968981654587,53.24449474507877,0.42235557748037367,20.071764864561683
Cpq,Cpq,15,33594552,33083129,+,0.35724843040622845,0.018391288208717466,0.027403901497286512,19.23062387410817,0.47389073027410095,0.514347261254301
Rnf2,Rnf2,1,151500823,151469406,-,1.3014919438979393,0.017332665271120686,0.01569779254094557,74.33807809153234,0.3874513116214217,6.869574649490145
Abcb6,Abcb6,1,75180283,75171641,-,1.1866815962310524,0.021093608220047983,0.02592320334916946,55.6952972679261,0.43850251676467095,16.02069589169927
Nbea,Nbea,3,56183701,55625198,-,1.4535390630655243,0.027333796179723497,0.049848522417455354,52.64558435181196,0.45829503397422344,0.37972190167443276
Harbi1,Harbi1,2,91721566,91710950,+,1.0300833599829504,0.018326883306230685,0.03679368368322301,55.64407811973245,0.47846855258762144,10.217011613116501
Zfp41,Zfp41,15,75625295,75616685,+,,,,,0,0
Zfp963,Zfp963,8,69749962,69741639,-,0.19543788598770206,0.013866109456161388,0.015267675482541333,13.953698240990798,0.4657836605193412,3.0532792466449843
Tmem43,Tmem43,6,91488458,91473751,+,1.7082617239828115,0.04620129566040064,0.03809082406480263,36.60458181029978,0.44676511623397847,24.927763313343462
Dapk1,Dapk1,13,60763186,60601947,+,4.620292901496894,0.01889072481924544,0.04180831899150987,242.1341698769518,0.6302462641715489,0.42703923514573294
Maged2,Maged2,X,150814339,150806421,-,3.81733937965043,0.017650296815576633,0.014693799507888277,214.11345233122418,0.49538243236969093,40.78325160992412
Tmem50b,Tmem50b,16,91597680,91574508,-,0.5779758403413283,0.018087645072331644,0.01553582272412589,31.634636772765592,0.408103527751464,6.670189607165046
Rlf,Rlf,4,121188534,121145373,-,0.3117538674906109,0.010697600271953944,0.011001656407315477,28.829969002751746,0.38810809472296526,1.730551073590323
Ttc12,Ttc12,9,49486225,49436961,-,0.5157763353188359,0.01813776065689191,0.0196776714641115,28.152238946411767,0.5504345362917312,1.821969317640228
AI987944,AI987944,7,41393379,41372930,-,0.2317972498832803,0.013743765721679142,0.015290159971620554,16.696972433288167,0.4633643968724829,2.977571939778766
D6Wsu163e,D6Wsu163e,6,126975704,126939966,+,0.31647047215470026,0.019378188910196062,0.0177529575572963,16.167959187780635,0.5161479409060936,3.7428480551085674
Cpt1c,Cpt1c,7,44974851,44959372,-,2.397182628253221,0.04549549356857762,0.05116341523930953,52.163645579389744,0.6139796997109275,3.0875888127723674
Cc2d2a,Cc2d2a,5,43740970,43662379,+,0.34005648937203914,0.016270923290642725,0.019732769492193766,20.690646650145958,0.5934304806524952,1.9343979368975388
Efemp2,Efemp2,19,5481854,5474690,+,0.7754008823555991,0.010002128592794677,0.009565078686386293,76.74835075456237,0.47523801335451527,24.493173035064316
Sox2ot,Sox2ot,3,34677993,34560381,+,1.468840790908829,0.05816241416984636,0.07054663307585365,25.001582271900077,0.9866538575273665,0.23915866540123132
Esco2,Esco2,14,65833969,65819027,-,,,,,0,0
Map3k1,Map3k1,13,111808983,111746435,-,9.444083477853523,0.03744465842327525,0.11757803018539037,238.62613910608707,0.6417024486967553,4.502774737255205
Gm16515,Gm16515,11,60913792,60902246,-,1.8994014449621255,0.036347045611937204,0.041682204764847894,51.734808121376865,0.41492470493676054,11.771652534984838
Usp20,Usp20,2,31022655,30982279,+,0.8601049712750078,0.01539034070629546,0.02480500112959614,55.32716512337818,0.5640905211548828,3.905689866047455
Bend4,Bend4,5,67427799,67392147,-,0.5231423497129762,0.019347685705400852,0.022401772627993352,26.76862411876337,0.47806764663109874,6.069758486136248
3632451O06Rik,3632451O06Rik,14,49783367,49682019,-,0.4322751972083457,0.03167832783230479,0.027592343474257045,13.509312975789294,0.4292983437088935,1.3070080570731486
Aldh18a1,Aldh18a1,19,40588463,40550257,-,2.342733212544662,0.04937740305201603,0.04372140342710306,46.9709976034173,0.38453972413384635,6.031433666357674
Ints8,Ints8,4,11254259,11199158,-,2.9307756638430154,0.015377737368811099,0.05094152644250181,188.67976722565828,0.6166958877482255,10.117004449724735
Map2k3,Map2k3,11,60952803,60932057,+,1.1922006822459073,0.023307577122286698,0.024618100079346054,50.639269334214326,0.5637912620146427,11.671051225396301
Enpp4,Enpp4,17,44105808,44096310,-,1.3789121271450455,0.05990515074058225,0.0377450118342216,22.788073963543233,0.5064913648776739,15.039080159117272
Klc4,Klc4,17,46645144,46630631,-,1.1335605394566006,0.011209164244757637,0.019642147097063533,100.11673569569496,0.45744031570211563,34.865615461686204
Rbms2,Rbms2,10,128180297,128129470,-,3.534408219640193,0.0510017911758388,0.0594578191568856,68.60669119208134,0.6612531738397146,4.704286913577606
Skiv2l2,Skiv2l2,13,112927380,112867780,-,1.1212758462972265,0.01513043355968569,0.018770974011037635,73.36624449361211,0.37861935270662644,3.847007014430773
Uty,Uty,Y,1245738,1097144,-,0.5169916092562532,0.027769154462633498,0.03625413875078438,18.43130275545134,0.4884784145143958,0.49028717001578936
Zfp386,Zfp386,12,116060594,116047724,+,0.6030070180096266,0.028884627854276056,0.02248148800106291,20.667635077083204,0.39377641830880417,3.491532179278625
Pak7,Pak7,2,136387967,136081088,-,0.49687695700463747,0.025892772681956416,0.036732451001245496,18.997895415711163,0.7528806535649109,0.3088518795241867
